season,game_id,team_id,player_id,min_played,goals,assists,penalty_made,penalty_attempted,shots,shots_on_target,yellow_cards,red_cards,touches,tackles,interceptions,blocks,shot_creating_actions,goal_creating_actions,passes_completed,passes_attempted,pass_completion_percent,progressive_passes,carries,progressive_carries,take_ons_attempted,take_ons_successful
2021,2,Q1130849,266,25,0,0,0,0,0,0,0,0,24,0,0,2,3,0,16,20,80.0,4,21,2,1,0
2021,2,Q1130849,269,33,0,0,0,0,0,0,0,0,17,1,1,0,3,1,11,13,84.6,1,8,0,0,0
2021,2,Q1130849,270,90,0,0,0,0,2,1,0,0,34,3,1,1,3,0,17,21,81.0,2,21,1,3,1
2021,2,Q1130849,272,90,0,0,0,0,0,0,0,0,61,1,2,1,0,0,42,54,77.8,8,33,1,2,2
2021,2,Q1130849,273,65,0,0,0,0,1,1,0,0,44,4,0,0,1,0,29,39,74.4,5,23,2,1,1
2021,2,Q1130849,274,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0,0,1,0,0,0
2021,2,Q1130849,276,90,3,0,2,2,7,1,0,0,75,2,0,1,9,1,37,47,78.7,8,54,8,14,7
2021,2,Q1130849,277,57,0,0,0,0,1,0,0,0,40,0,3,2,3,0,22,27,81.5,4,25,3,1,1
2021,2,Q1130849,282,90,0,0,0,0,2,0,1,0,51,2,0,0,2,1,34,40,85.0,4,30,2,2,2
2021,2,Q1130849,283,90,0,0,0,0,5,0,0,0,53,0,1,1,10,1,31,39,79.5,7,44,5,6,5
2021,2,Q1130849,286,88,0,0,0,0,0,0,0,0,71,0,2,0,2,0,41,66,62.1,3,31,0,0,0
2021,2,Q1130849,287,90,1,0,0,0,2,1,0,0,43,0,1,1,1,1,25,35,71.4,6,25,0,0,0
2021,3,Q18716,342,74,0,0,0,0,1,0,0,0,31,1,0,0,4,1,19,21,90.5,6,28,8,4,2
2021,3,Q18716,343,87,0,0,0,0,4,0,0,0,44,0,0,0,3,1,19,29,65.5,4,22,1,3,1
2021,3,Q18716,344,84,1,0,0,0,4,1,0,0,33,0,1,0,3,0,17,24,70.8,3,27,3,0,0
2021,3,Q18716,351,90,0,0,0,0,0,0,0,0,49,1,0,2,0,0,28,38,73.7,2,30,0,0,0
2021,3,Q18716,352,90,0,0,0,0,0,0,1,0,48,2,2,2,2,0,40,43,93.0,2,26,0,0,0
2021,3,Q18716,354,90,0,0,0,0,0,0,0,0,35,0,0,2,0,0,19,23,82.6,2,17,0,2,2
2021,3,Q18716,355,90,0,0,0,0,0,0,0,0,50,2,0,1,3,0,32,41,78.0,3,33,0,0,0
2021,3,Q18716,356,90,0,0,0,0,0,0,1,0,47,5,1,1,1,0,20,34,58.8,1,27,1,1,0
2021,3,Q18716,357,90,1,1,0,0,1,1,0,0,37,0,1,2,4,1,21,27,77.8,6,23,2,3,3
2021,3,Q18716,358,16,0,0,0,0,1,0,0,0,15,1,0,0,2,0,8,9,88.9,0,10,0,2,1
2021,3,Q18716,359,90,0,0,0,0,3,0,0,0,64,1,0,0,4,0,37,54,68.5,6,41,0,0,0
2021,3,Q18716,360,90,0,0,0,0,0,0,0,0,26,0,0,0,0,0,12,23,52.2,0,13,0,0,0
2021,3,Q18716,364,6,0,1,0,0,1,0,0,0,13,0,0,0,1,1,10,11,90.9,1,10,3,0,0
2021,3,Q18716,367,3,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,1,100.0,0,1,0,0,0
2021,3,Q18747,475,90,0,0,0,0,0,0,0,0,67,2,0,1,2,0,45,63,71.4,3,32,3,0,0
2021,3,Q18747,476,24,0,0,0,0,3,1,1,0,25,1,0,0,2,0,15,20,75.0,2,17,4,0,0
2021,3,Q18747,477,90,0,0,0,0,1,0,0,0,78,1,1,4,1,0,55,64,85.9,4,49,3,0,0
2021,3,Q18747,482,90,0,0,0,0,0,0,0,0,79,2,1,2,3,0,57,69,82.6,12,42,3,3,2
2021,3,Q18747,484,2,0,0,0,0,0,0,0,0,4,1,0,0,0,0,2,3,66.7,1,3,2,0,0
2021,3,Q18747,485,90,0,0,0,0,0,0,0,0,84,0,1,2,0,0,67,77,87.0,6,55,0,0,0
2021,3,Q18747,486,88,0,0,0,0,1,0,0,0,37,1,0,1,1,0,19,31,61.3,0,19,3,1,1
2021,3,Q18747,489,66,0,0,0,0,0,0,0,0,46,1,0,0,2,0,38,45,84.4,2,29,0,0,0
2021,3,Q18747,490,90,0,0,0,0,4,1,0,0,36,0,1,0,3,0,10,22,45.5,0,23,2,4,1
2021,3,Q18747,491,66,0,0,0,0,1,0,0,0,25,1,1,1,1,0,15,19,78.9,5,11,0,1,1
2021,3,Q18747,492,90,0,0,0,0,0,0,1,0,56,1,2,0,5,0,39,48,81.3,5,22,1,1,0
2021,3,Q18747,494,24,0,0,0,0,2,1,0,0,11,0,0,0,2,0,6,9,66.7,0,6,0,0,0
2021,3,Q18747,495,90,0,0,0,0,3,0,0,0,41,3,0,1,5,0,26,30,86.7,6,23,0,0,0
2021,3,Q18747,497,90,0,0,0,0,0,0,0,0,31,0,0,0,0,0,21,28,75.0,0,14,0,0,0
2021,6,Q5794,155,90,0,0,0,0,0,0,0,0,64,2,2,0,6,0,48,57,84.2,1,37,1,2,2
2021,6,Q5794,157,90,0,0,0,0,0,0,0,0,69,4,2,0,1,0,46,56,82.1,6,38,1,1,1
2021,6,Q5794,158,67,0,0,0,0,1,0,0,0,46,0,0,0,2,0,37,40,92.5,5,32,2,1,1
2021,6,Q5794,163,88,1,0,0,0,2,2,0,0,19,0,0,1,2,0,13,15,86.7,2,10,2,1,1
2021,6,Q5794,165,23,0,0,0,0,0,0,0,0,15,1,1,0,1,0,9,13,69.2,0,10,0,0,0
2021,6,Q5794,166,89,0,0,0,0,3,0,0,0,70,2,3,1,6,0,47,57,82.5,9,47,1,2,2
2021,6,Q5794,169,90,0,0,0,0,0,0,0,0,39,0,0,0,0,0,20,37,54.1,0,21,0,0,0
2021,6,Q5794,172,90,0,1,0,0,0,0,0,0,88,3,2,2,2,1,63,77,81.8,5,43,0,0,0
2021,6,Q5794,174,90,0,0,0,0,0,0,0,0,73,1,2,0,1,0,57,61,93.4,1,49,0,0,0
2021,6,Q5794,175,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,,0,2,0,1,0
2021,6,Q5794,178,90,0,0,0,0,7,1,0,0,62,5,1,2,6,1,33,42,78.6,2,55,9,11,11
2021,6,Q5794,180,90,0,0,0,0,1,1,0,0,65,1,1,2,3,0,45,51,88.2,3,36,0,1,0
2021,6,Q5794,182,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0.0,0,1,0,0,0
2021,6,Q5794,183,90,0,0,0,0,1,0,0,0,69,0,3,2,0,0,52,57,91.2,2,42,0,0,0
2021,6,Q18741,422,90,0,0,0,0,1,0,0,0,85,1,1,1,2,0,62,78,79.5,7,40,2,0,0
2021,6,Q18741,426,45,0,0,0,0,1,1,0,0,22,1,0,0,2,0,13,17,76.5,2,15,2,0,0
2021,6,Q18741,427,90,0,0,0,0,0,0,0,0,75,0,1,0,0,0,60,67,89.6,4,52,1,0,0
2021,6,Q18741,430,90,0,0,0,0,2,1,0,0,25,0,0,1,2,0,9,17,52.9,3,11,0,2,1
2021,6,Q18741,431,59,0,0,0,0,0,0,0,0,55,0,0,1,0,0,46,53,86.8,1,33,0,0,0
2021,6,Q18741,432,90,0,0,0,0,0,0,0,0,30,0,0,0,0,0,28,30,93.3,0,14,0,0,0
2021,6,Q18741,435,90,0,0,0,0,2,1,0,0,48,0,1,1,2,0,28,38,73.7,2,30,1,2,0
2021,6,Q18741,436,75,0,0,0,0,1,1,0,0,66,1,0,2,2,0,45,54,83.3,6,34,2,2,2
2021,6,Q18741,437,45,0,0,0,0,0,0,0,0,39,1,0,0,1,0,30,38,78.9,3,13,2,1,1
2021,6,Q18741,438,90,0,0,0,0,0,0,1,0,89,4,0,1,1,0,73,80,91.3,7,40,0,0,0
2021,6,Q18741,441,90,0,0,0,0,2,1,0,0,37,1,0,0,4,0,21,30,70.0,1,20,5,0,0
2021,6,Q18741,442,31,0,0,0,0,0,0,0,0,19,0,0,1,1,0,16,17,94.1,1,12,1,0,0
2021,6,Q18741,443,15,0,0,0,0,0,0,0,0,20,0,0,0,0,0,15,19,78.9,3,14,1,0,0
2021,6,Q18741,444,90,0,0,0,0,0,0,0,0,85,0,1,4,1,0,68,79,86.1,5,58,0,1,1
2021,5,Q19481,234,66,0,0,0,0,1,0,0,0,36,0,0,1,1,0,21,30,70.0,5,24,0,1,1
2021,5,Q19481,239,74,0,1,0,0,2,1,0,0,46,2,1,0,3,1,31,36,86.1,2,25,1,1,1
2021,5,Q19481,241,90,0,0,0,0,5,2,0,0,41,2,0,2,6,1,21,30,70.0,3,30,7,4,3
2021,5,Q19481,243,90,0,0,0,0,0,0,1,0,79,3,3,1,3,2,54,66,81.8,5,37,2,2,0
2021,5,Q19481,244,16,0,0,0,0,0,0,0,0,19,0,0,0,1,0,18,19,94.7,3,13,0,0,0
2021,5,Q19481,245,90,2,0,2,2,0,0,0,0,16,0,0,1,2,1,4,8,50.0,1,5,1,0,0
2021,5,Q19481,247,90,0,0,0,0,0,0,0,0,30,0,0,0,0,0,25,30,83.3,0,15,0,0,0
2021,5,Q19481,251,24,0,0,0,0,0,0,0,0,10,0,0,0,0,0,6,10,60.0,1,7,1,0,0
2021,5,Q19481,252,90,0,0,0,0,0,0,0,0,83,2,2,0,2,0,67,72,93.1,3,62,2,0,0
2021,5,Q19481,255,90,1,0,0,0,1,1,0,0,95,3,2,1,1,0,63,83,75.9,3,45,3,1,1
2021,5,Q19481,258,90,0,0,0,0,0,0,0,0,103,2,2,1,0,0,83,94,88.3,2,77,0,0,0
2021,5,Q19481,259,90,0,0,0,0,1,1,0,0,99,1,3,1,3,1,73,92,79.3,9,64,2,3,3
2021,5,Q19481,260,90,0,0,0,0,1,0,0,0,94,2,1,0,0,0,80,88,90.9,5,69,1,0,0
2021,5,Q18744,448,59,0,0,0,0,0,0,0,0,11,0,0,1,1,0,7,9,77.8,0,5,0,0,0
2021,5,Q18744,452,90,0,0,0,0,0,0,0,0,55,2,1,2,0,0,38,49,77.6,3,27,0,0,0
2021,5,Q18744,453,68,0,0,0,0,1,0,0,0,37,0,0,1,2,0,19,29,65.5,2,16,4,0,0
2021,5,Q18744,456,90,0,0,0,0,1,0,0,0,47,0,2,0,3,0,22,32,68.8,5,30,1,2,1
2021,5,Q18744,457,31,0,0,0,0,1,0,0,0,7,0,0,0,0,0,1,3,33.3,0,1,0,0,0
2021,5,Q18744,458,90,0,0,0,0,0,0,0,0,33,2,1,1,1,0,20,27,74.1,1,14,0,0,0
2021,5,Q18744,461,90,0,0,0,0,0,0,0,0,47,0,1,0,1,0,32,43,74.4,2,22,1,0,0
2021,5,Q18744,462,90,0,0,0,0,0,0,0,0,54,0,2,1,0,0,34,44,77.3,4,25,0,0,0
2021,5,Q18744,463,23,0,0,0,0,1,0,0,0,9,2,0,0,0,0,5,5,100.0,0,5,1,0,0
2021,5,Q18744,465,90,0,0,0,0,3,1,0,0,51,1,1,0,1,0,26,36,72.2,3,24,0,5,1
2021,5,Q18744,469,22,0,0,0,0,0,0,0,0,18,0,1,2,0,0,10,13,76.9,0,7,0,1,1
2021,5,Q18744,471,67,0,0,0,0,0,0,0,0,24,0,1,0,1,0,15,19,78.9,1,12,0,2,0
2021,5,Q18744,473,90,0,0,0,0,0,0,0,0,36,0,0,0,1,0,19,31,61.3,0,21,0,0,0
2021,5,Q18744,474,90,0,0,0,0,0,0,1,0,37,0,0,0,0,0,24,34,70.6,1,21,0,2,0
2021,8,Q19453,54,46,0,0,0,0,3,1,0,0,11,0,0,0,1,0,2,2,100.0,0,7,0,2,0
2021,8,Q19453,55,44,0,0,0,0,0,0,0,0,21,0,1,0,4,0,17,19,89.5,2,11,0,1,1
2021,8,Q19453,56,90,0,0,0,0,1,0,0,0,73,3,2,0,1,0,55,65,84.6,3,47,0,0,0
2021,8,Q19453,58,12,0,0,0,0,0,0,0,0,13,1,0,1,1,0,6,10,60.0,1,8,0,0,0
2021,8,Q19453,60,78,0,0,0,0,0,0,0,0,56,2,0,2,0,0,39,48,81.3,2,28,0,1,1
2021,8,Q19453,69,90,1,0,0,0,1,1,0,0,52,0,0,3,3,0,26,42,61.9,2,30,1,0,0
2021,8,Q19453,70,90,0,0,0,0,1,0,0,0,83,2,1,2,1,0,73,77,94.8,3,39,0,0,0
2021,8,Q19453,18,90,0,0,0,0,0,0,0,0,49,0,0,0,0,0,41,46,89.1,0,30,0,0,0
2021,8,Q19453,71,90,0,0,0,0,1,0,0,0,16,0,1,0,0,0,10,14,71.4,1,8,1,0,0
2021,8,Q19453,72,12,0,0,0,0,0,0,0,0,14,1,1,0,0,0,12,13,92.3,3,9,0,0,0
2021,8,Q19453,76,90,0,0,0,0,1,0,0,0,76,2,2,0,3,0,49,64,76.6,7,44,6,5,3
2021,8,Q19453,77,78,0,0,0,0,2,1,0,0,41,0,1,0,3,0,28,34,82.4,5,24,1,2,1
2021,8,Q19453,78,90,0,1,0,0,1,0,1,0,75,3,3,0,5,1,40,61,65.6,3,41,7,3,2
2021,8,Q19453,79,90,0,0,0,0,2,0,0,0,68,3,3,0,2,1,46,57,80.7,4,38,0,2,0
2021,8,Q9616,105,90,0,0,0,0,0,0,0,0,55,2,3,1,0,0,44,47,93.6,1,28,0,0,0
2021,8,Q9616,109,11,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,6,100.0,4,4,1,0,0
2021,8,Q9616,111,6,0,0,0,0,0,0,0,0,8,0,0,0,0,0,5,8,62.5,0,1,0,0,0
2021,8,Q9616,116,84,1,1,1,1,0,0,0,0,61,2,2,0,3,2,45,54,83.3,6,29,1,0,0
2021,8,Q9616,117,79,0,0,0,0,0,0,0,0,34,3,0,0,2,0,24,27,88.9,4,19,1,2,1
2021,8,Q9616,118,90,0,0,0,0,0,0,0,0,29,0,0,0,0,0,16,28,57.1,0,15,0,0,0
2021,8,Q9616,119,90,1,0,0,0,1,1,0,0,61,0,4,2,0,0,43,51,84.3,1,32,0,0,0
2021,8,Q9616,120,90,0,0,0,0,0,0,0,0,99,0,5,1,1,0,68,83,81.9,5,44,1,0,0
2021,8,Q9616,121,90,0,0,0,0,1,0,0,0,55,4,0,2,3,1,34,40,85.0,2,28,2,4,2
2021,8,Q9616,123,90,0,0,0,0,0,0,0,0,51,3,6,2,1,0,35,39,89.7,4,22,0,0,0
2021,8,Q9616,125,90,1,1,0,0,1,1,0,0,71,2,3,3,2,1,47,60,78.3,0,34,1,0,0
2021,8,Q9616,50,30,0,0,0,0,1,1,0,0,27,0,0,0,2,0,20,23,87.0,2,14,2,0,0
2021,8,Q9616,126,60,0,0,0,0,0,0,0,0,25,0,0,0,1,0,11,17,64.7,0,13,1,3,0
2021,8,Q9616,129,90,0,0,0,0,5,1,0,0,32,0,2,1,3,1,17,23,73.9,1,23,5,3,2
2021,7,Q19607,368,90,0,0,0,0,0,0,0,0,26,0,0,0,0,0,14,24,58.3,0,12,0,0,0
2021,7,Q19607,371,90,0,0,0,0,1,0,0,0,27,1,0,2,0,0,13,18,72.2,0,12,0,2,1
2021,7,Q19607,372,70,0,0,0,0,0,0,0,0,41,3,1,0,1,0,26,30,86.7,2,16,1,0,0
2021,7,Q19607,374,20,0,0,0,0,1,0,0,0,24,0,0,0,0,0,16,22,72.7,2,14,0,1,1
2021,7,Q19607,375,90,0,0,0,0,1,0,0,0,74,3,1,2,1,0,55,62,88.7,8,36,1,3,2
2021,7,Q19607,378,90,0,0,0,0,1,0,0,0,57,0,1,0,1,0,45,53,84.9,6,28,0,1,0
2021,7,Q19607,380,90,0,0,0,0,0,0,0,0,63,2,1,2,0,0,39,53,73.6,5,27,0,1,0
2021,7,Q19607,383,90,0,0,0,0,1,0,1,0,57,1,0,0,0,0,33,48,68.8,6,34,0,0,0
2021,7,Q19607,384,90,0,0,0,0,1,0,0,0,56,2,1,1,4,0,31,47,66.0,5,22,0,3,1
2021,7,Q19607,385,90,0,0,0,0,0,0,0,0,66,1,0,1,4,0,43,61,70.5,7,37,2,0,0
2021,7,Q19607,390,90,0,0,0,0,3,1,1,0,39,2,2,1,1,0,15,28,53.6,3,14,0,2,1
2021,7,Q19607,391,75,0,0,0,0,0,0,0,0,64,0,2,0,3,0,51,63,81.0,8,26,0,0,0
2021,7,Q19607,394,15,0,0,0,0,0,0,0,0,26,1,0,0,1,0,24,24,100.0,4,18,2,0,0
2021,7,Q19500,498,90,0,0,0,0,3,0,0,0,55,3,1,1,2,0,23,37,62.2,2,19,8,10,7
2021,7,Q19500,499,90,0,0,0,0,0,0,0,0,49,3,2,0,0,0,28,36,77.8,0,22,0,0,0
2021,7,Q19500,500,75,0,1,0,0,0,0,0,0,30,1,0,0,4,2,19,27,70.4,3,21,2,2,2
2021,7,Q19500,501,90,0,0,0,0,0,0,1,0,51,0,2,2,1,0,31,39,79.5,0,25,1,3,2
2021,7,Q19500,505,85,0,0,0,0,0,0,0,0,55,2,1,0,4,0,40,49,81.6,1,28,0,1,0
2021,7,Q19500,507,90,0,0,0,0,0,0,0,0,45,3,1,0,1,0,28,35,80.0,2,16,0,0,0
2021,7,Q19500,511,22,0,0,0,0,0,0,0,0,18,0,0,0,0,0,14,15,93.3,0,8,1,0,0
2021,7,Q19500,514,68,0,1,0,0,0,0,0,0,34,0,2,0,1,1,20,26,76.9,1,17,3,2,1
2021,7,Q19500,516,90,1,0,0,0,5,2,0,0,60,0,1,0,3,1,33,42,78.6,3,38,5,3,1
2021,7,Q19500,517,90,1,0,0,0,3,2,0,0,65,0,1,3,2,0,40,45,88.9,1,23,0,0,0
2021,7,Q19500,518,90,0,0,0,0,0,0,0,0,25,0,0,0,0,0,17,24,70.8,0,11,0,0,0
2021,7,Q19500,519,15,0,0,0,0,0,0,0,0,11,0,0,1,1,0,7,8,87.5,1,4,0,0,0
2021,7,Q19500,522,5,0,0,0,0,0,0,0,0,5,0,0,0,1,0,5,5,100.0,0,2,0,1,1
2021,7,Q19500,524,90,0,0,0,0,0,0,0,0,56,2,2,0,0,0,29,44,65.9,1,21,0,0,0
2021,9,Q9617,2,76,1,0,0,0,1,1,0,0,36,0,0,0,0,0,22,31,71.0,0,19,1,0,0
2021,9,Q9617,3,90,0,0,0,0,0,0,0,0,39,0,0,0,1,0,34,37,91.9,0,22,0,0,0
2021,9,Q9617,4,88,0,0,0,0,2,0,0,0,61,0,0,0,3,2,34,46,73.9,4,32,3,3,2
2021,9,Q9617,7,90,0,1,0,0,1,0,0,0,121,3,4,3,4,1,95,105,90.5,11,73,4,3,2
2021,9,Q9617,8,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,2,50.0,0,2,0,0,0
2021,9,Q9617,9,14,1,0,0,0,1,1,0,0,7,0,0,0,0,0,2,4,50.0,0,4,0,1,1
